true\pred,coral,crab,diver,eel,fish,fishInGroups,flatworm,jellyfish,marine_dolphin,octopus,rayfish,seaAnemone,seaCucumber,seaSlug,seaUrchin,shark,shrimp,squid,starfish,turtle
coral,307,0,0,1,12,9,2,0,0,0,6,7,1,0,2,0,0,0,1,0
crab,0,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
diver,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eel,1,1,0,25,11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
fish,9,2,0,5,491,10,0,0,0,0,2,12,0,3,2,1,0,0,1,0
fishInGroups,1,0,1,0,11,57,0,0,0,0,0,0,0,0,0,1,0,0,0,1
flatworm,0,0,0,0,3,0,5,0,0,0,0,0,1,3,0,0,0,0,1,0
jellyfish,0,0,0,0,1,0,0,22,0,0,0,1,0,0,1,0,0,0,0,0
marine_dolphin,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,1
octopus,1,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
rayfish,3,0,1,1,4,0,0,1,0,0,83,0,1,0,0,0,0,0,0,1
seaAnemone,8,0,0,0,12,0,1,0,0,0,1,198,0,0,1,0,0,0,0,0
seaCucumber,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0
seaSlug,0,0,0,1,1,0,1,0,0,0,1,0,1,15,0,0,0,0,0,0
seaUrchin,1,0,0,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0
shark,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,15,0,0,0,1
shrimp,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
squid,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0
starfish,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
turtle,2,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,68
